"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2017-03-22","DASH","Poloniex","100.56","94.50","110.00","88.70",26.59,6.41,"2017-03-22 00:00:00","2017-03-22 00","2017-03-22 00DASH"
"2017-03-21","DASH","Poloniex","94.50","98.11","103.02","90.06",27.55,-3.68,"2017-03-21 00:00:00","2017-03-21 00","2017-03-21 00DASH"
"2017-03-20","DASH","Poloniex","98.11","105.68","109.50","98.04",16.61,-7.16,"2017-03-20 00:00:00","2017-03-20 00","2017-03-20 00DASH"
"2017-03-19","DASH","Poloniex","105.68","107.73","112.25","95.98",32.42,-1.9,"2017-03-19 00:00:00","2017-03-19 00","2017-03-19 00DASH"
"2017-03-18","DASH","Poloniex","107.73","97.00","117.81","91.91",57.39,11.06,"2017-03-18 00:00:00","2017-03-18 00","2017-03-18 00DASH"
"2017-03-17","DASH","Poloniex","97.00","88.21","98.83","76.40",29.51,9.96,"2017-03-17 00:00:00","2017-03-17 00","2017-03-17 00DASH"
"2017-03-16","DASH","Poloniex","88.21","96.00","99.09","75.00",41.36,-8.11,"2017-03-16 00:00:00","2017-03-16 00","2017-03-16 00DASH"
"2017-03-15","DASH","Poloniex","96.00","89.00","103.00","86.00",34.96,7.87,"2017-03-15 00:00:00","2017-03-15 00","2017-03-15 00DASH"
"2017-03-14","DASH","Poloniex","89.00","75.00","93.12","73.42",20.46,18.67,"2017-03-14 00:00:00","2017-03-14 00","2017-03-14 00DASH"
"2017-03-13","DASH","Poloniex","75.00","77.10","82.00","68.40",29.48,-2.72,"2017-03-13 00:00:00","2017-03-13 00","2017-03-13 00DASH"
"2017-03-12","DASH","Poloniex","77.10","72.65","81.45","66.00",29.05,6.13,"2017-03-12 00:00:00","2017-03-12 00","2017-03-12 00DASH"
"2017-03-11","DASH","Poloniex","72.65","50.31","74.00","49.50",45.49,44.4,"2017-03-11 00:00:00","2017-03-11 00","2017-03-11 00DASH"
"2017-03-10","DASH","Poloniex","50.31","51.49","56.51","45.10",29.54,-2.29,"2017-03-10 00:00:00","2017-03-10 00","2017-03-10 00DASH"
"2017-03-09","DASH","Poloniex","51.49","41.74","54.00","41.27",28.95,23.36,"2017-03-09 00:00:00","2017-03-09 00","2017-03-09 00DASH"
"2017-03-08","DASH","Poloniex","41.74","46.00","46.15","41.74",7.23,-9.26,"2017-03-08 00:00:00","2017-03-08 00","2017-03-08 00DASH"
"2017-03-07","DASH","Poloniex","46.00","46.64","46.99","43.00",9.47,-1.37,"2017-03-07 00:00:00","2017-03-07 00","2017-03-07 00DASH"
"2017-03-06","DASH","Poloniex","46.64","42.80","47.50","42.50",10.44,8.97,"2017-03-06 00:00:00","2017-03-06 00","2017-03-06 00DASH"
"2017-03-05","DASH","Poloniex","42.80","43.90","45.19","39.83",11.67,-2.51,"2017-03-05 00:00:00","2017-03-05 00","2017-03-05 00DASH"
"2017-03-04","DASH","Poloniex","43.90","47.90","49.28","43.00",14.01,-8.35,"2017-03-04 00:00:00","2017-03-04 00","2017-03-04 00DASH"
"2017-03-03","DASH","Poloniex","47.90","43.10","52.00","38.61",26.86,11.14,"2017-03-03 00:00:00","2017-03-03 00","2017-03-03 00DASH"
"2017-03-02","DASH","Poloniex","43.10","42.68","59.95","36.06",62.12,0.98,"2017-03-02 00:00:00","2017-03-02 00","2017-03-02 00DASH"
"2017-03-01","DASH","Poloniex","42.68","32.66","49.80","32.27",26.58,30.68,"2017-03-01 00:00:00","2017-03-01 00","2017-03-01 00DASH"
"2017-02-28","DASH","Poloniex","32.66","28.61","33.98","27.95",8.46,14.16,"2017-02-28 00:00:00","2017-02-28 00","2017-02-28 00DASH"
"2017-02-27","DASH","Poloniex","28.61","28.41","29.10","27.65",3.91,0.7,"2017-02-27 00:00:00","2017-02-27 00","2017-02-27 00DASH"
"2017-02-26","DASH","Poloniex","28.41","27.00","28.57","25.51",3.69,5.22,"2017-02-26 00:00:00","2017-02-26 00","2017-02-26 00DASH"
"2017-02-25","DASH","Poloniex","27.00","26.62","27.44","23.60",8.85,11.75,"2017-02-25 00:00:00","2017-02-25 00","2017-02-25 00DASH"
"2017-02-24","DASH","Poloniex","24.16","24.16","24.16","24.16",NA,0,"2017-02-24 00:00:00","2017-02-24 00","2017-02-24 00DASH"
"2017-02-23","DASH","Poloniex","24.16","22.41","24.16","22.30",1.56,7.81,"2017-02-23 00:00:00","2017-02-23 00","2017-02-23 00DASH"
"2017-02-22","DASH","Poloniex","22.41","21.48","22.44","21.20",1.88,4.33,"2017-02-22 00:00:00","2017-02-22 00","2017-02-22 00DASH"
"2017-02-21","DASH","Poloniex","21.48","21.75","22.54","20.65",3.71,-1.24,"2017-02-21 00:00:00","2017-02-21 00","2017-02-21 00DASH"
"2017-02-20","DASH","Poloniex","21.75","22.75","23.40","20.40",3.43,-4.4,"2017-02-20 00:00:00","2017-02-20 00","2017-02-20 00DASH"
"2017-02-19","DASH","Poloniex","22.75","21.43","24.12","21.13",5.53,6.16,"2017-02-19 00:00:00","2017-02-19 00","2017-02-19 00DASH"
"2017-02-18","DASH","Poloniex","21.43","20.08","21.80","20.08",3.55,6.72,"2017-02-18 00:00:00","2017-02-18 00","2017-02-18 00DASH"
"2017-02-17","DASH","Poloniex","20.08","19.68","20.37","19.28",2.83,2.03,"2017-02-17 00:00:00","2017-02-17 00","2017-02-17 00DASH"
"2017-02-16","DASH","Poloniex","19.68","19.47","20.00","19.02",2.05,1.08,"2017-02-16 00:00:00","2017-02-16 00","2017-02-16 00DASH"
"2017-02-15","DASH","Poloniex","19.47","17.93","19.75","17.66",2.56,8.59,"2017-02-15 00:00:00","2017-02-15 00","2017-02-15 00DASH"
"2017-02-14","DASH","Poloniex","17.93","16.94","18.57","16.89",1.4,5.84,"2017-02-14 00:00:00","2017-02-14 00","2017-02-14 00DASH"
"2017-02-13","DASH","Poloniex","16.94","16.86","17.04","16.68",0.22,0.47,"2017-02-13 00:00:00","2017-02-13 00","2017-02-13 00DASH"
"2017-02-12","DASH","Poloniex","16.86","17.11","17.17","16.75",0.78,-1.46,"2017-02-12 00:00:00","2017-02-12 00","2017-02-12 00DASH"
"2017-02-11","DASH","Poloniex","17.11","16.91","17.20","16.65",0.92,1.18,"2017-02-11 00:00:00","2017-02-11 00","2017-02-11 00DASH"
"2017-02-10","DASH","Poloniex","16.91","16.37","17.00","15.95",1,3.3,"2017-02-10 00:00:00","2017-02-10 00","2017-02-10 00DASH"
"2017-02-09","DASH","Poloniex","16.37","17.19","17.35","15.00",4.61,-4.77,"2017-02-09 00:00:00","2017-02-09 00","2017-02-09 00DASH"
"2017-02-08","DASH","Poloniex","17.19","17.20","17.20","16.30",1.04,-0.06,"2017-02-08 00:00:00","2017-02-08 00","2017-02-08 00DASH"
"2017-02-07","DASH","Poloniex","17.20","16.80","17.37","16.76",1.5,2.38,"2017-02-07 00:00:00","2017-02-07 00","2017-02-07 00DASH"
"2017-02-06","DASH","Poloniex","16.80","16.81","16.95","16.37",1.12,-0.06,"2017-02-06 00:00:00","2017-02-06 00","2017-02-06 00DASH"
"2017-02-05","DASH","Poloniex","16.81","17.32","17.45","16.50",3.25,-2.94,"2017-02-05 00:00:00","2017-02-05 00","2017-02-05 00DASH"
"2017-02-04","DASH","Poloniex","17.32","17.14","17.60","17.01",0.57,1.05,"2017-02-04 00:00:00","2017-02-04 00","2017-02-04 00DASH"
"2017-02-03","DASH","Poloniex","17.14","16.39","17.49","16.05",2.68,4.58,"2017-02-03 00:00:00","2017-02-03 00","2017-02-03 00DASH"
"2017-02-02","DASH","Poloniex","16.39","15.90","16.40","15.56",0.92,3.08,"2017-02-02 00:00:00","2017-02-02 00","2017-02-02 00DASH"
"2017-02-01","DASH","Poloniex","15.90","16.04","16.12","15.37",0.85,-0.87,"2017-02-01 00:00:00","2017-02-01 00","2017-02-01 00DASH"
"2017-01-31","DASH","Poloniex","16.04","15.95","16.15","15.70",1.08,0.56,"2017-01-31 00:00:00","2017-01-31 00","2017-01-31 00DASH"
"2017-01-30","DASH","Poloniex","15.95","15.48","15.95","15.25",1.47,3.04,"2017-01-30 00:00:00","2017-01-30 00","2017-01-30 00DASH"
"2017-01-29","DASH","Poloniex","15.48","15.21","15.50","15.15",0.49,1.78,"2017-01-29 00:00:00","2017-01-29 00","2017-01-29 00DASH"
"2017-01-28","DASH","Poloniex","15.21","15.34","15.35","14.98",0.64,-0.85,"2017-01-28 00:00:00","2017-01-28 00","2017-01-28 00DASH"
"2017-01-27","DASH","Poloniex","15.34","15.00","15.42","14.93",0.8,2.27,"2017-01-27 00:00:00","2017-01-27 00","2017-01-27 00DASH"
"2017-01-26","DASH","Poloniex","15.00","14.29","15.00","14.11",0.39,4.97,"2017-01-26 00:00:00","2017-01-26 00","2017-01-26 00DASH"
"2017-01-25","DASH","Poloniex","14.29","13.92","14.64","13.60",0.84,2.66,"2017-01-25 00:00:00","2017-01-25 00","2017-01-25 00DASH"
"2017-01-24","DASH","Poloniex","13.92","15.16","15.19","13.79",2.19,-8.18,"2017-01-24 00:00:00","2017-01-24 00","2017-01-24 00DASH"
"2017-01-23","DASH","Poloniex","15.16","15.09","15.23","14.97",0.45,0.46,"2017-01-23 00:00:00","2017-01-23 00","2017-01-23 00DASH"
"2017-01-22","DASH","Poloniex","15.09","14.95","15.47","14.90",1.15,0.94,"2017-01-22 00:00:00","2017-01-22 00","2017-01-22 00DASH"
"2017-01-21","DASH","Poloniex","14.95","15.25","15.41","14.81",0.72,-1.97,"2017-01-21 00:00:00","2017-01-21 00","2017-01-21 00DASH"
"2017-01-20","DASH","Poloniex","15.25","15.16","15.70","14.74",2.85,0.59,"2017-01-20 00:00:00","2017-01-20 00","2017-01-20 00DASH"
"2017-01-19","DASH","Poloniex","15.16","14.00","15.34","13.92",2.77,8.29,"2017-01-19 00:00:00","2017-01-19 00","2017-01-19 00DASH"
"2017-01-18","DASH","Poloniex","14.00","14.33","14.33","13.40",2.46,-2.3,"2017-01-18 00:00:00","2017-01-18 00","2017-01-18 00DASH"
"2017-01-17","DASH","Poloniex","14.33","12.82","14.39","12.77",2.22,11.78,"2017-01-17 00:00:00","2017-01-17 00","2017-01-17 00DASH"
"2017-01-16","DASH","Poloniex","12.82","12.22","12.99","12.09",0.42,4.91,"2017-01-16 00:00:00","2017-01-16 00","2017-01-16 00DASH"
"2017-01-15","DASH","Poloniex","12.22","12.26","12.50","12.07",0.27,-0.33,"2017-01-15 00:00:00","2017-01-15 00","2017-01-15 00DASH"
"2017-01-14","DASH","Poloniex","12.26","12.45","12.62","12.03",0.46,-1.53,"2017-01-14 00:00:00","2017-01-14 00","2017-01-14 00DASH"
"2017-01-13","DASH","Poloniex","12.45","12.07","12.59","11.42",0.87,3.15,"2017-01-13 00:00:00","2017-01-13 00","2017-01-13 00DASH"
"2017-01-12","DASH","Poloniex","12.07","11.30","12.48","10.70",1.33,6.81,"2017-01-12 00:00:00","2017-01-12 00","2017-01-12 00DASH"
"2017-01-11","DASH","Poloniex","11.30","12.44","12.99","10.64",2.67,-9.16,"2017-01-11 00:00:00","2017-01-11 00","2017-01-11 00DASH"
"2017-01-10","DASH","Poloniex","12.44","12.50","12.70","12.30",0.24,-0.48,"2017-01-10 00:00:00","2017-01-10 00","2017-01-10 00DASH"
"2017-01-09","DASH","Poloniex","12.50","12.73","12.81","12.19",0.55,-1.81,"2017-01-09 00:00:00","2017-01-09 00","2017-01-09 00DASH"
"2017-01-08","DASH","Poloniex","12.73","12.45","13.13","12.41",0.93,2.25,"2017-01-08 00:00:00","2017-01-08 00","2017-01-08 00DASH"
"2017-01-07","DASH","Poloniex","12.45","11.81","12.74","11.34",1.89,5.42,"2017-01-07 00:00:00","2017-01-07 00","2017-01-07 00DASH"
"2017-01-06","DASH","Poloniex","11.81","14.38","14.67","11.81",2.99,-17.87,"2017-01-06 00:00:00","2017-01-06 00","2017-01-06 00DASH"
"2017-01-05","DASH","Poloniex","14.38","16.04","16.60","12.29",4.82,-10.35,"2017-01-05 00:00:00","2017-01-05 00","2017-01-05 00DASH"
"2017-01-04","DASH","Poloniex","16.04","12.79","16.95","12.60",8.18,25.41,"2017-01-04 00:00:00","2017-01-04 00","2017-01-04 00DASH"
"2017-01-03","DASH","Poloniex","12.79","11.93","13.10","11.74",1.79,7.21,"2017-01-03 00:00:00","2017-01-03 00","2017-01-03 00DASH"
"2017-01-02","DASH","Poloniex","11.93","11.50","11.97","11.42",0.88,3.74,"2017-01-02 00:00:00","2017-01-02 00","2017-01-02 00DASH"
"2017-01-01","DASH","Poloniex","11.50","11.34","11.70","11.12",0.52,1.41,"2017-01-01 00:00:00","2017-01-01 00","2017-01-01 00DASH"
"2016-12-31","DASH","Poloniex","11.34","11.23","11.42","11.03",0.56,0.98,"2016-12-31 00:00:00","2016-12-31 00","2016-12-31 00DASH"
"2016-12-30","DASH","Poloniex","11.23","10.87","11.49","10.75",0.68,3.31,"2016-12-30 00:00:00","2016-12-30 00","2016-12-30 00DASH"
"2016-12-29","DASH","Poloniex","10.87","10.21","11.37","10.05",1.31,6.46,"2016-12-29 00:00:00","2016-12-29 00","2016-12-29 00DASH"
"2016-12-28","DASH","Poloniex","10.21","9.68","10.45","9.66",1.04,5.48,"2016-12-28 00:00:00","2016-12-28 00","2016-12-28 00DASH"
"2016-12-27","DASH","Poloniex","9.68","9.91","9.97","9.51",1.46,-2.32,"2016-12-27 00:00:00","2016-12-27 00","2016-12-27 00DASH"
"2016-12-26","DASH","Poloniex","9.91","10.09","10.29","9.71",0.37,-1.78,"2016-12-26 00:00:00","2016-12-26 00","2016-12-26 00DASH"
"2016-12-25","DASH","Poloniex","10.09","9.84","10.21","9.75",0.39,2.54,"2016-12-25 00:00:00","2016-12-25 00","2016-12-25 00DASH"
"2016-12-24","DASH","Poloniex","9.84","9.59","10.10","9.56",0.88,2.61,"2016-12-24 00:00:00","2016-12-24 00","2016-12-24 00DASH"
"2016-12-23","DASH","Poloniex","9.59","9.79","9.86","9.07",1.76,-2.04,"2016-12-23 00:00:00","2016-12-23 00","2016-12-23 00DASH"
"2016-12-22","DASH","Poloniex","9.79","9.81","9.95","9.10",0.9,-0.2,"2016-12-22 00:00:00","2016-12-22 00","2016-12-22 00DASH"
"2016-12-21","DASH","Poloniex","9.81","10.28","10.36","9.66",0.69,-4.57,"2016-12-21 00:00:00","2016-12-21 00","2016-12-21 00DASH"
"2016-12-20","DASH","Poloniex","10.28","10.37","10.63","10.20",0.23,-0.87,"2016-12-20 00:00:00","2016-12-20 00","2016-12-20 00DASH"
"2016-12-19","DASH","Poloniex","10.37","9.83","10.58","9.81",1.05,5.49,"2016-12-19 00:00:00","2016-12-19 00","2016-12-19 00DASH"
"2016-12-18","DASH","Poloniex","9.83","9.85","9.90","9.61",0.04,-0.2,"2016-12-18 00:00:00","2016-12-18 00","2016-12-18 00DASH"
"2016-12-17","DASH","Poloniex","9.85","9.89","9.89","9.38",0.09,-0.4,"2016-12-17 00:00:00","2016-12-17 00","2016-12-17 00DASH"
"2016-12-16","DASH","Poloniex","9.89","9.23","9.92","9.20",0.18,7.15,"2016-12-16 00:00:00","2016-12-16 00","2016-12-16 00DASH"
"2016-12-15","DASH","Poloniex","9.23","9.10","9.40","9.05",0.04,1.43,"2016-12-15 00:00:00","2016-12-15 00","2016-12-15 00DASH"
"2016-12-14","DASH","Poloniex","9.10","9.50","9.50","9.02",0.34,-4.21,"2016-12-14 00:00:00","2016-12-14 00","2016-12-14 00DASH"
"2016-12-13","DASH","Poloniex","9.50","9.10","9.55","8.95",0.5,4.4,"2016-12-13 00:00:00","2016-12-13 00","2016-12-13 00DASH"
"2016-12-12","DASH","Poloniex","9.10","9.49","9.66","9.05",0.45,-4.11,"2016-12-12 00:00:00","2016-12-12 00","2016-12-12 00DASH"
"2016-12-11","DASH","Poloniex","9.49","8.99","9.61","8.74",0.51,5.56,"2016-12-11 00:00:00","2016-12-11 00","2016-12-11 00DASH"
"2016-12-10","DASH","Poloniex","8.99","8.85","8.99","8.80",0.46,1.58,"2016-12-10 00:00:00","2016-12-10 00","2016-12-10 00DASH"
"2016-12-09","DASH","Poloniex","8.85","8.77","8.85","8.66",0.09,0.91,"2016-12-09 00:00:00","2016-12-09 00","2016-12-09 00DASH"
"2016-12-08","DASH","Poloniex","8.77","8.71","8.77","8.59",0.03,0.69,"2016-12-08 00:00:00","2016-12-08 00","2016-12-08 00DASH"
"2016-12-07","DASH","Poloniex","8.71","8.66","8.77","8.59",0.06,0.58,"2016-12-07 00:00:00","2016-12-07 00","2016-12-07 00DASH"
"2016-12-06","DASH","Poloniex","8.66","8.52","8.75","8.35",0.33,1.64,"2016-12-06 00:00:00","2016-12-06 00","2016-12-06 00DASH"
"2016-12-05","DASH","Poloniex","8.52","8.79","8.89","8.36",0.95,-3.07,"2016-12-05 00:00:00","2016-12-05 00","2016-12-05 00DASH"
"2016-12-04","DASH","Poloniex","8.79","8.80","8.95","8.66",0.19,-0.11,"2016-12-04 00:00:00","2016-12-04 00","2016-12-04 00DASH"
