"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"11432083",NA,"ens","1607696166","0x2a187453064356c898cae034eaed119e1663acb8","111100000000000000000000","open","0x4edc2c90ce008df529c279bab37e81bdb47daa5472d82d43e0943fbaecbe1e07",111100,NA,"0xd274b21793c3c5e42eb405bb7840e675bec23815","0",NA,NA,NA,"2020-12-27 23:50:26",2020-12-27
"11431787",NA,"estate","1607692245","0x959e104e1a4db6317fa58f8295f586e1a978c297","95000000000000000000000","cancelled","0xe45363677988947fdff9bcb1dafa66a463c3ee8dc75e0229a0a977a9c8a8343e",95000,"https://api.decentraland.org/v1/estates/3063/map.png","0x18889fb048f74a14a2ac0579b59fd4fe813e1a68","0",NA,NA,0,"2020-12-27 23:50:26",2020-12-27
"11431614",NA,"wearable","1607689607","0xb96697fa4a3361ba35b774a42c58daccaad1b8e1","3500000000000000000000","open","0xb5c036524106a740cd4ee49ec417e74882318aabb7a1df44576a6f7f28368df0",3500,"https://wearable-api.decentraland.org/v2/collections/wonderzone_steampunk/wearables/steampunk_boots/thumbnail","0x6b347a82fcac4e6a38d1fc40e3631bd8f9495e9f","0",NA,NA,NA,"2020-12-27 23:50:26",2020-12-27
"11442574","0x73deaeb8aa241b6fcdb992060ae43193cccbf638","parcel","1607688434","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","8499000000000000000000","sold","0x30016035f445f71e1d797bb4a14647c113916b3865911547cd0b2cc655c6ae82",8499,"https://api.decentraland.org/v1/parcels/-45/76/map.png","0x73deaeb8aa241b6fcdb992060ae43193cccbf638","0","-45","76",NA,"2020-12-27 23:50:26",2020-12-27
"11431295",NA,"parcel","1607685641","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","27000000000000000000000","cancelled","0xae2f6f1bd5afaa80958c73efc44157cbbf7cc9b6be3e8e7faaa41ba92efe908b",27000,"https://api.decentraland.org/v1/parcels/78/39/map.png","0x8445165437cb63affb2f143378d0ec63e0249582","0","78","39",NA,"2020-12-27 23:50:26",2020-12-27
"11431274",NA,"estate","1607685117","0x959e104e1a4db6317fa58f8295f586e1a978c297","56000000000000000000000","cancelled","0xed8b9f89891d9194c655168b0daf04f5668ddccb2f011a67e6e9b5719cac1f03",56000,"https://api.decentraland.org/v1/estates/3893/map.png","0x8445165437cb63affb2f143378d0ec63e0249582","0",NA,NA,2,"2020-12-27 23:50:26",2020-12-27
"11431274",NA,"estate","1607685117","0x959e104e1a4db6317fa58f8295f586e1a978c297","59000000000000000000000","cancelled","0x841a817cee2cf989bf051a91eacc6e9e61123c7138a192a968f59dbc96c051d9",59000,"https://api.decentraland.org/v1/estates/3945/map.png","0x8445165437cb63affb2f143378d0ec63e0249582","0",NA,NA,3,"2020-12-27 23:50:26",2020-12-27
"11431228",NA,"estate","1607684471","0x959e104e1a4db6317fa58f8295f586e1a978c297","38999000000000000000000","open","0x7244dcd1e7e114efdb6b50aa72d3fbbaee71eb6388d8061b4af60ff732be5374",38999,"https://api.decentraland.org/v1/estates/1239/map.png","0x57af5abf532092bde4f819edc4dd07659f916230","0",NA,NA,2,"2020-12-27 23:50:26",2020-12-27
"11431225",NA,"estate","1607684427","0x959e104e1a4db6317fa58f8295f586e1a978c297","38999000000000000000000","cancelled","0xa10a57d1669ec0f61d1d779e110da8419af64ef05464a6f5298de23751347671",38999,"https://api.decentraland.org/v1/estates/1239/map.png","0x57af5abf532092bde4f819edc4dd07659f916230","0",NA,NA,2,"2020-12-27 23:50:26",2020-12-27
"11430434",NA,"ens","1607674024","0x2a187453064356c898cae034eaed119e1663acb8","500000000000000000000000","open","0xf8791139f13bc4c8c8716f0c10d2863f9b33ba0f951d7040a1d4f76db3c51acc",5e+05,NA,"0x6e155a81750d135b25c03b19e65ef88d7538579c","0",NA,NA,NA,"2020-12-27 23:50:26",2020-12-27
"11429596",NA,"parcel","1607662394","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","10000000000000000000000","open","0x5c483c1f61c0449d6eadf055fcb0cc9a4f3f452d9e84e2e6b4b3c7642f4fb019",10000,"https://api.decentraland.org/v1/parcels/149/-142/map.png","0xcd3f011ab2359a03fcb8b1fe168a06ee148d343e","0","149","-142",NA,"2020-12-27 23:50:26",2020-12-27
"11429410",NA,"parcel","1607660100","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","14950000000000000000000","cancelled","0xc9ee2b8814fe94614bc9da02e5fac53e8c151893848195973a3e453a69f1d2cb",14950,"https://api.decentraland.org/v1/parcels/24/65/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0","24","65",NA,"2020-12-27 23:50:26",2020-12-27
"11429409",NA,"parcel","1607660099","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","38000000000000000000000","cancelled","0xb07721e765a8e518e37a7f88995147df8c3436313e7f5ae9b3661a7e191c0d27",38000,"https://api.decentraland.org/v1/parcels/10/49/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0","10","49",NA,"2020-12-27 23:50:26",2020-12-27
"11429396",NA,"estate","1607659941","0x959e104e1a4db6317fa58f8295f586e1a978c297","150000000000000000000000","open","0x823e1ee86e7ce114ae3f3a0f3614dcef618e4cc672f512be6043a397335825c9",150000,"https://api.decentraland.org/v1/estates/3934/map.png","0x22b0ac0be4633f57fa4457268ad365c11227e172","0",NA,NA,9,"2020-12-27 23:50:26",2020-12-27
"11428861",NA,"parcel","1607652765","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","45000000000000000000000","open","0xa909a50060d41b8c457442a52e90edb2c4b3c5e7ff393fcf1c41ec3981767709",45000,"https://api.decentraland.org/v1/parcels/-127/-76/map.png","0x9240d4b5b51fe17091d74e8bb5be6655eaab794b","0","-127","-76",NA,"2020-12-27 23:50:26",2020-12-27
"11428489",NA,"parcel","1607647614","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","19000000000000000000000","cancelled","0x5b653719a970047c477aa980186e3ef65417e99f8776568d73fa9218fafeaa1d",19000,"https://api.decentraland.org/v1/parcels/17/-135/map.png","0x7103a727dd976fcb389921ceb148d2ea03e484b6","0","17","-135",NA,"2020-12-27 23:50:26",2020-12-27
