"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2020-01-04","DASH","HitBTC",4619,4392,4689,4307,9562,5.22,"2020-01-04 00:00:00","2020-01-04 00","2020-01-04 00DASH"
"2020-01-03","DASH","HitBTC",4390,3997,4400,3992,3002,9.84,"2020-01-03 00:00:00","2020-01-03 00","2020-01-03 00DASH"
"2020-01-02","DASH","HitBTC",3997,4180,4180,3996,1766,-4.39,"2020-01-02 00:00:00","2020-01-02 00","2020-01-02 00DASH"
"2020-01-01","DASH","HitBTC",4180,4118,4253,4093,1915,1.51,"2020-01-01 00:00:00","2020-01-01 00","2020-01-01 00DASH"
"2019-12-31","DASH","HitBTC",4118,4216,4274,4103,2769,-2.5,"2019-12-31 00:00:00","2019-12-31 00","2019-12-31 00DASH"
"2019-12-30","DASH","HitBTC",4224,4452,4466,4207,4028,-5.14,"2019-12-30 00:00:00","2019-12-30 00","2019-12-30 00DASH"
"2019-12-29","DASH","HitBTC",4453,4181,4500,4127,6876,6.51,"2019-12-29 00:00:00","2019-12-29 00","2019-12-29 00DASH"
"2019-12-28","DASH","HitBTC",4181,3960,4296,3951,5264,5.55,"2019-12-28 00:00:00","2019-12-28 00","2019-12-28 00DASH"
"2019-12-27","DASH","HitBTC",3961,3990,4040,3834,4729,-0.79,"2019-12-27 00:00:00","2019-12-27 00","2019-12-27 00DASH"
"2019-12-26","DASH","HitBTC",3993,4077,4090,3831,5664,-1.97,"2019-12-26 00:00:00","2019-12-26 00","2019-12-26 00DASH"
"2019-12-25","DASH","HitBTC",4073,4164,4173,4042,2268,-2.22,"2019-12-25 00:00:00","2019-12-25 00","2019-12-25 00DASH"
"2019-12-24","DASH","HitBTC",4166,4296,4296,4132,2431,-3.04,"2019-12-24 00:00:00","2019-12-24 00","2019-12-24 00DASH"
"2019-12-23","DASH","HitBTC",4296,4422,4483,4253,1988,-2.85,"2019-12-23 00:00:00","2019-12-23 00","2019-12-23 00DASH"
"2019-12-22","DASH","HitBTC",4422,4263,4429,4248,917,3.73,"2019-12-22 00:00:00","2019-12-22 00","2019-12-22 00DASH"
"2019-12-21","DASH","HitBTC",4263,4322,4329,4240,1106,-1.37,"2019-12-21 00:00:00","2019-12-21 00","2019-12-21 00DASH"
"2019-12-20","DASH","HitBTC",4322,4275,4355,4211,1557,1.07,"2019-12-20 00:00:00","2019-12-20 00","2019-12-20 00DASH"
"2019-12-19","DASH","HitBTC",4276,4442,4481,4207,2670,-3.63,"2019-12-19 00:00:00","2019-12-19 00","2019-12-19 00DASH"
"2019-12-18","DASH","HitBTC",4438,4119,4549,4007,4436,7.73,"2019-12-18 00:00:00","2019-12-18 00","2019-12-18 00DASH"
"2019-12-17","DASH","HitBTC",4119,4601,4612,4081,4339,-10.54,"2019-12-17 00:00:00","2019-12-17 00","2019-12-17 00DASH"
"2019-12-16","DASH","HitBTC",4604,5077,5083,4549,3339,-9.3,"2019-12-16 00:00:00","2019-12-16 00","2019-12-16 00DASH"
"2019-12-15","DASH","HitBTC",5077,4953,5116,4891,1389,2.5,"2019-12-15 00:00:00","2019-12-15 00","2019-12-15 00DASH"
"2019-12-14","DASH","HitBTC",4953,5069,5118,4897,1279,-2.32,"2019-12-14 00:00:00","2019-12-14 00","2019-12-14 00DASH"
"2019-12-13","DASH","HitBTC",5071,4980,5084,4965,1329,1.77,"2019-12-13 00:00:00","2019-12-13 00","2019-12-13 00DASH"
"2019-12-12","DASH","HitBTC",4982,4965,5059,4841,1964,0.36,"2019-12-12 00:00:00","2019-12-12 00","2019-12-12 00DASH"
"2019-12-11","DASH","HitBTC",4965,4991,5070,4927,1428,-0.54,"2019-12-11 00:00:00","2019-12-11 00","2019-12-11 00DASH"
"2019-12-10","DASH","HitBTC",4992,5117,5176,4935,2142,-2.46,"2019-12-10 00:00:00","2019-12-10 00","2019-12-10 00DASH"
"2019-12-09","DASH","HitBTC",5118,5183,5319,5071,2399,-1.25,"2019-12-09 00:00:00","2019-12-09 00","2019-12-09 00DASH"
"2019-12-08","DASH","HitBTC",5183,5233,5253,5158,1535,-0.95,"2019-12-08 00:00:00","2019-12-08 00","2019-12-08 00DASH"
"2019-12-07","DASH","HitBTC",5233,5246,5332,5153,2627,-0.24,"2019-12-07 00:00:00","2019-12-07 00","2019-12-07 00DASH"
"2019-12-06","DASH","HitBTC",5245,5000,5287,4977,2739,4.88,"2019-12-06 00:00:00","2019-12-06 00","2019-12-06 00DASH"
"2019-12-05","DASH","HitBTC",5001,5030,5138,4937,2716,-0.56,"2019-12-05 00:00:00","2019-12-05 00","2019-12-05 00DASH"
