"date","symbol","active_addresses","block_count","block_size_block_bytes","block_mean_size_bytes","cap_mrkt_cur","fees_daily_mean_native_units","fees_daily_mean_usd","fees_daily_median_native_units","fees_daily_median_usd","fees_daily_total_native_units","fees_daily_total_usd","supply_issued_daily","annual_inflation_rate","supply_issued_usd_equivalent_scheduled_daily","supply_issued_native_units_total","supply_issued_usd_equivalent_total","adjusted_nvt","adjusted_nvt_90_day_ma","price_btc","price_usd","roi_1_year","roi_30_days","supply_current","transactions_count_daily","transactions_successful_transfers_daily_count","transactions_native_units_transferred_adjusted","transactions_usd_equivalent_adjusted","transactions_mean_native_units_per_transaction","transactions_mean_usd_equivalent_per_transaction","transactions_median_native_units_per_transaction","transactions_median_usd_equivalent_per_transaction","transactions_sum_native_units_transferred_daily","transactions_sum_usd_equivalent_units_transferred_daily","volatility_180_days","volatility_60_days","volatility_30_days","date_time_utc","pk_dummy","pkey"
"2017-10-18","ADA",1042,4320,3080691,713.12291667,NA,"0.1567478286852582",NA,0.171246,NA,78.68741,NA,0,0,NA,0,NA,3.8279375,NA,NA,NA,NA,NA,"25283378250.81016",502,951,"6604961097.995193",NA,"17942748.29462995",NA,"16393856.88263",NA,"17063553628.193078",NA,NA,NA,NA,"2017-10-18 00:00:01","2017-10-18 00","2017-10-18 00ADA"
"2017-10-19","ADA",1124,4318,3078041,712.83950903,NA,"0.15448481716417833",NA,0.171246,NA,82.803862,NA,0,0,NA,0,NA,7.38734215,NA,NA,NA,NA,NA,"25345175609.006298",536,1006,"3430892340.335389",NA,"7698664.40725631",NA,"15519071.457404",NA,"7744856393.699848",NA,NA,NA,NA,"2017-10-19 00:00:01","2017-10-19 00","2017-10-19 00ADA"
"2017-10-20","ADA",1477,4320,3014858,697.8837963,NA,"0.15885779716311954",NA,0.171246,NA,111.994747,NA,0,0,NA,0,NA,18.00286081,NA,NA,NA,NA,NA,"25420189801.011551",705,1332,"1412008350.998198",NA,"5269140.05107458",NA,"14636408.275236",NA,"7018494548.031338",NA,NA,NA,NA,"2017-10-20 00:00:01","2017-10-20 00","2017-10-20 00ADA"
"2017-10-21","ADA",1204,4320,3079218,712.78194444,NA,"0.1462058096885806",NA,0.17107,NA,84.506958,NA,0,0,NA,0,NA,30.15561984,NA,NA,NA,NA,NA,"25526519958.504593",578,1064,"846492962.00975",NA,"4718279.84317586",NA,"14060008.926085",NA,"5020249753.139116",NA,NA,NA,NA,"2017-10-21 00:00:01","2017-10-21 00","2017-10-21 00ADA"
"2017-10-22","ADA",1118,4320,2940786,680.7375,NA,"0.14667675435203023",NA,0.171246,NA,75.831882,NA,0,0,NA,0,NA,26.62611943,NA,NA,NA,NA,NA,"25644071039.672711",517,952,"963117104.022954",NA,"4741018.24479923",NA,"13588036.576438",NA,"4513449369.048864",NA,NA,NA,NA,"2017-10-22 00:00:01","2017-10-22 00","2017-10-22 00ADA"
"2017-10-23","ADA",657,4320,3006959,696.05532407,NA,"0.1427327449664428",NA,0.171246,NA,42.534358,NA,0,0,NA,0,NA,32.98519494,NA,NA,NA,NA,NA,"25715324154.138353",298,536,"779602006.339065",NA,"4413523.40856757",NA,"7026162.538965",NA,"2365648546.992215",NA,NA,NA,NA,"2017-10-23 00:00:01","2017-10-23 00","2017-10-23 00ADA"
"2017-10-24","ADA",1556,4320,3155727,730.49236111,NA,"0.15918440756302396",NA,0.171246,NA,113.657667,NA,0,0,NA,0,NA,23.83033453,NA,NA,NA,NA,NA,"25803954295.480686",714,1360,"1082819641.740973",NA,"3826327.77062947",NA,"7921343.964825",NA,"5203805768.056081",NA,NA,NA,NA,"2017-10-24 00:00:01","2017-10-24 00","2017-10-24 00ADA"
"2017-10-25","ADA",941,4320,2913460,674.41203704,NA,"0.15597334606741514",NA,0.171246,NA,69.408139,NA,0,0,NA,0,NA,28.60387281,NA,NA,NA,NA,NA,"25843500527.072547",445,842,"903496554.319641",NA,"5264006.96580939",NA,"12203597.470204",NA,"4432293865.211508",NA,NA,NA,NA,"2017-10-25 00:00:01","2017-10-25 00","2017-10-25 00ADA"
"2017-10-26","ADA",910,4320,3028777,701.10578704,NA,"0.15569064568764504",NA,0.171246,NA,66.791287,NA,0,0,NA,0,NA,26.72212032,NA,NA,NA,NA,NA,"25919768682.28126",429,808,"969974252.475254",NA,"5167860.14227755",NA,"11796801.466058",NA,"4175630994.960258",NA,NA,NA,NA,"2017-10-26 00:00:01","2017-10-26 00","2017-10-26 00ADA"
"2017-10-27","ADA",960,4320,2916947,675.21921296,NA,"0.1556228933333326",NA,0.171246,NA,70.030302,NA,0,0,NA,0,NA,40.50737737,NA,NA,NA,NA,NA,"25973174946.250958",450,849,"641196163.136877",NA,"3775073.90207359",NA,"11241581.294889",NA,"3205037742.860476",NA,NA,NA,NA,"2017-10-27 00:00:01","2017-10-27 00","2017-10-27 00ADA"
"2017-10-28","ADA",791,4320,3033641,702.23171296,NA,"0.1583253172043004",NA,0.171246,NA,58.897018,NA,0,0,NA,0,NA,37.46445826,NA,NA,NA,NA,NA,"26022113649.35394",372,710,"694581340.845086",NA,"4478549.26197491",NA,"11008860.470027",NA,"3179769976.002185",NA,NA,NA,NA,"2017-10-28 00:00:01","2017-10-28 00","2017-10-28 00ADA"
