"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"COTI",0.018931,0.67,13675,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Xeonbit Token",0.85525,0.97,13580,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"TomoChain",0.31404,0.62,13103,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"Kusama",3.3704,0.11,11584,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"Constellation",0.0083975,0.68,11395,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"Tokoin",0.016061,0.9,10836,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"Travala.com",0.109,0.14,10092,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"TTC Protocol",0.01935,2.58,347,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"IRISnet",0.010482,11.83,275.8,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"EOS Force",0.00205,0.78,254.7,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"CPChain",0.0019425,16.01,241.2,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"Grin",0.4796,5.59,132,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:28","2020-04-21 18"
"OmiseGO",0.5966,13.64,119.3,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:28","2020-04-21 18"
"Ontology Gas",0.08575,7.58,75.51,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:28","2020-04-21 18"
"BUMO",0.0033,6.06,75.04,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:28","2020-04-21 18"
"IRISnet",0.010238,7.35,333.8,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:34","2020-04-21 18"
"MCO",4.9349,0.59,299193,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"Chiliz",0.0063672,0.7,295546,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"Bitcoin Gold",8.899,0.31,277099,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
