"Date","Symbol","Open","High","Low","Close","VolumeUSDT","CloseLag1Hour","CloseLag12Hour","CloseLag24Hour","CloseLag3Day","CloseLag7Day","CloseLag14Day","CloseLag30Day","CloseLag90Day","CloseLag120Day","Volatility","Target24HourClose","DateTime"
2018-06-04,"ETH",605.97,611.3,601.35,606.94,3044536.47,605.97,616.77,606.93,583.11,534.39,717.36,807.59,847.5,953.33,1.65461045979877,586.4,"2018-06-04 07:00:00"
2018-06-04,"ETH",606.94,607.54,601.8,605.97,2346287.35,606.94,620.87,624,588.8,530,718.03,811.07,846.09,938.9,0.953805250913927,594.01,"2018-06-04 08:00:00"
2018-06-04,"ETH",605.97,609,600.12,608.89,2718847.66,605.97,619.46,623.12,584.49,532.99,711.44,810.04,847.09,905.05,1.47970405918816,588.05,"2018-06-04 09:00:00"
2018-06-04,"ETH",608.89,608.98,604.27,605.5,1584140.97,608.89,618.22,617.71,584.69,536.51,707.01,818.6,831.94,906.44,0.779452893574071,588.97,"2018-06-04 10:00:00"
2018-06-04,"ETH",605.5,605.5,591.2,592.32,5577358.88,605.5,619.66,619.93,570.63,529.36,709.52,817.8,832.32,886.67,2.41880920162381,587.02,"2018-06-04 11:00:00"
2018-06-04,"ETH",619.66,625.47,618.5,622.54,2524837.25,592.32,620.94,594.16,580.61,571.53,714,795.94,840.56,952,1.12691996766371,594.93,"2018-06-04 12:00:00"
2018-06-04,"ETH",596.1,597.9,592.02,592.11,1396276.6,622.54,620.5,620.99,575.75,535.04,707.54,818.97,822.1,881.97,0.993209688861862,584.72,"2018-06-04 13:00:00"
2018-06-04,"ETH",592.11,593.05,580.5,585.44,5582422.84,592.11,615.16,622.99,575.81,529.7,698.82,826.31,828.96,880,2.16192937123169,585.9,"2018-06-04 14:00:00"
2018-06-04,"ETH",585.44,590.93,584,586.5,2956421.72,585.44,618.3,623.01,576.31,530.26,701,820.01,830,859,1.18664383561643,600.12,"2018-06-04 15:00:00"
2018-06-04,"ETH",586.5,589.18,583,584,1744565.6,586.5,618.97,617.95,572.57,527.88,696.93,822.94,828,875.01,1.06003430531732,606.37,"2018-06-04 16:00:00"
2018-06-04,"ETH",584,587.57,580.15,586.54,1890214.21,584,615.31,618,568.02,526.99,693.78,812.98,817.44,873.78,1.27897957424805,609.94,"2018-06-04 17:00:00"
2018-06-04,"ETH",586.54,590.83,584.54,590.59,1621455.35,586.54,605.97,611.79,566.99,521.79,688.9,812,812.54,858.9,1.07605980771206,611.44,"2018-06-04 18:00:00"
2018-06-04,"ETH",590.59,593.28,588,591.5,1332819.48,590.59,606.94,616.77,572.23,526.2,695.81,812.67,811.6,841.06,0.897959183673465,607.24,"2018-06-04 19:00:00"
2018-06-04,"ETH",591.5,597.87,589.35,597.11,1216803.47,591.5,605.97,620.87,567.03,523.83,698.51,805,809.63,837.98,1.4456604734029,609.26,"2018-06-04 20:00:00"
2018-06-04,"ETH",597.11,599.96,595.71,598.87,1394472.59,597.11,608.89,619.46,570.12,516.17,695.5,808.26,818.02,812.05,0.713434389216229,603.98,"2018-06-04 21:00:00"
2018-06-04,"ETH",598.87,598.9,592.41,592.5,899372.61,598.87,605.5,618.22,579.41,518.27,698.29,814,817.46,855,1.0955250586587,611.17,"2018-06-04 22:00:00"
2018-06-04,"ETH",592.5,593.6,585.62,591.02,1801405.12,592.5,592.32,619.66,579,511.5,696.7,819.5,813.11,823.56,1.36265837915372,609.05,"2018-06-04 23:00:00"
2018-06-04,"ETH",592.32,598.38,591.31,596.1,2419750.22,591.02,622.54,620.94,575.01,538.83,708.52,823.5,829.01,898.11,1.19565033569533,588.11,"2018-06-05 00:00:00"
2018-06-05,"ETH",594.93,599,592.83,595.5,1191800.13,596.1,592.11,620.5,578.71,521.34,686.83,839.5,824.18,828.03,1.04077054130188,609.06,"2018-06-05 01:00:00"
2018-06-05,"ETH",595.5,596,577.62,579.51,4541013.67,595.5,585.44,615.16,580.3,520.4,687.51,832.97,817.56,819.99,3.18202278314463,607.17,"2018-06-05 02:00:00"
2018-06-05,"ETH",579.51,584.83,576.81,582.16,2734732.33,579.51,586.5,618.3,577.92,525.22,688.56,828.15,811.65,835.52,1.39040585288051,606.11,"2018-06-05 03:00:00"
2018-06-05,"ETH",582.16,585.55,576.08,577.23,2164120.01,582.16,584,618.97,578.42,526.34,687.39,818.99,812.48,850.85,1.64386890709622,601.48,"2018-06-05 04:00:00"
2018-06-05,"ETH",577.23,586.71,576.92,583.71,2146775.45,577.23,586.54,615.31,581.24,520.6,688.72,802.65,800.95,840.28,1.69694238369273,605.31,"2018-06-05 05:00:00"
2018-06-05,"ETH",583.71,588.57,581.64,588.27,1694822.54,583.71,590.59,605.97,586.46,518.86,696.1,796.74,784.1,829.91,1.19145863420674,609,"2018-06-05 06:00:00"
2018-06-05,"ETH",588.27,589,583.61,586.4,1362208.99,588.27,591.5,606.94,587.8,523.24,694.27,800.39,786,819.96,0.923561967752435,606.72,"2018-06-05 07:00:00"
2018-06-05,"ETH",586.4,596.2,586.37,594.01,2704008.71,586.4,597.11,605.97,595.27,520.86,690.8,780.1,787.43,800,1.67641591486605,603.65,"2018-06-05 08:00:00"
2018-06-05,"ETH",594.01,594.01,586,588.05,1606994.11,594.01,598.87,608.89,595.62,523.59,686.4,782.12,775.67,805.1,1.36689419795222,601.01,"2018-06-05 09:00:00"
2018-06-05,"ETH",588.05,591.04,586.89,588.97,1458457.41,588.05,592.5,605.5,589.92,532.68,691.65,785.02,780.75,780.71,0.707117176983758,604.5,"2018-06-05 10:00:00"
2018-06-05,"ETH",588.97,591.23,570.36,587.02,1650286.2,588.97,591.02,592.32,592.73,552.9,683.67,774.07,790.97,764.43,3.65909250298057,606.01,"2018-06-05 11:00:00"
2018-06-05,"ETH",591.02,595.92,590.59,594.93,788336.22,587.02,596.1,622.54,575.39,519.43,694.45,831.1,822.28,838.85,0.902487343165297,605.09,"2018-06-05 12:00:00"
2018-06-05,"ETH",588.11,589.3,583.85,584.72,1345603.65,594.93,595.5,592.11,590.91,567.07,684.5,777.28,789.22,770.04,0.933458936370631,608.4,"2018-06-05 13:00:00"
2018-06-05,"ETH",584.72,587.34,583,585.9,1033033.22,584.72,579.51,585.44,592.74,557.16,682.44,779.9,788.33,723,0.744425385934825,607.81,"2018-06-05 14:00:00"
2018-06-05,"ETH",585.9,601,585.52,600.12,2618504.5,585.9,582.16,586.5,590.89,555.03,680.04,774.97,785.71,731.41,2.64380379833311,611.31,"2018-06-05 15:00:00"
2018-06-05,"ETH",600.12,612,600,606.37,5716936.17,600.12,577.23,584,589.95,559.1,679.08,788.5,736.48,723,2,596.11,"2018-06-05 16:00:00"
2018-06-05,"ETH",606.37,614,602.08,609.94,3840181.65,606.37,583.71,586.54,589.99,565.51,674.62,790.55,736.56,701.26,1.97980334839223,596.98,"2018-06-05 17:00:00"
2018-06-05,"ETH",609.94,614,608.3,611.44,1616836.07,609.94,588.27,590.59,596.32,564.99,671.91,784.47,739.03,682,0.937037645898413,597.23,"2018-06-05 18:00:00"
2018-06-05,"ETH",611.44,611.44,607.01,607.24,126126.96,611.44,586.4,591.5,598.46,564.96,666.66,780.4,740.36,645.01,0.729806757714051,598.26,"2018-06-05 19:00:00"
