"symbol","model","eval_set","rmse","rsq","date_time_utc","date_utc"
"BNT","rf","holdout",2.08766854893249,0.126124310069554,"2021-01-05 15:00:12","2021-01-05"
"BNT","rf","test",3.82535781903436,0.127250221868056,"2021-01-05 15:00:12","2021-01-05"
"BNT","xgb","holdout",2.56312525815475,0.027422394343172,"2021-01-05 15:00:12","2021-01-05"
"BNT","xgb","test",6.51969995451471,0.00304363893050693,"2021-01-05 15:00:12","2021-01-05"
"BRD","lm","holdout",18.2440572710099,0.20504237711522,"2021-01-05 15:00:12","2021-01-05"
"BRD","lm","test",4.43557337441634,0.47661980017778,"2021-01-05 15:00:12","2021-01-05"
"BRD","nnet","holdout",20.4537784726551,0.000164860425254114,"2021-01-05 15:00:12","2021-01-05"
"BRD","nnet","test",7.97173486440835,0.0290733028948197,"2021-01-05 15:00:12","2021-01-05"
"BRD","pcr","holdout",19.0058707612053,0.135798250685836,"2021-01-05 15:00:12","2021-01-05"
"BRD","pcr","test",7.15054993330945,0.208768457323845,"2021-01-05 15:00:12","2021-01-05"
"BRD","rf","holdout",18.6924314762125,0.169470193234031,"2021-01-05 15:00:12","2021-01-05"
"BRD","rf","test",7.17223121511959,0.0986733220972062,"2021-01-05 15:00:12","2021-01-05"
"BRD","xgb","holdout",19.1441063730785,0.110713909616058,"2021-01-05 15:00:12","2021-01-05"
"BRD","xgb","test",7.72863492609812,0.0945264599330631,"2021-01-05 15:00:12","2021-01-05"
"BSV","lm","holdout",0.523473145661732,0.755652989308382,"2021-01-05 15:00:12","2021-01-05"
"BSV","lm","test",0.879236239056898,0.591676897772726,"2021-01-05 15:00:12","2021-01-05"
"BSV","nnet","holdout",1.00340140499397,0.00451407426931044,"2021-01-05 15:00:12","2021-01-05"
"BSV","nnet","test",1.26853707702945,0.205710382640215,"2021-01-05 15:00:12","2021-01-05"
"BSV","pcr","holdout",0.934949686444547,0.121502542830371,"2021-01-05 15:00:12","2021-01-05"
"BSV","pcr","test",0.950537454335253,0.380338873545299,"2021-01-05 15:00:12","2021-01-05"
"BSV","rf","holdout",0.974305179561921,0.433950671611979,"2021-01-05 15:00:12","2021-01-05"
"BSV","rf","test",2.02356577263928,0.0604062815692654,"2021-01-05 15:00:12","2021-01-05"
"BSV","xgb","holdout",1.3966352854543,0.134397335642697,"2021-01-05 15:00:12","2021-01-05"
"BSV","xgb","test",2.08933020372344,0.0901186422260092,"2021-01-05 15:00:12","2021-01-05"
"BTC","lm","holdout",0.457996197657105,0.921865759023073,"2021-01-05 15:00:12","2021-01-05"
"BTC","lm","test",0.387798613664394,0.771059729994467,"2021-01-05 15:00:12","2021-01-05"
"BTC","nnet","holdout",3.21830397919021,0.122689764858297,"2021-01-05 15:00:12","2021-01-05"
"BTC","nnet","test",1.37568833932343,0.262952029016856,"2021-01-05 15:00:12","2021-01-05"
"BTC","pcr","holdout",1.33913742522821,0.314334486235394,"2021-01-05 15:00:12","2021-01-05"
"BTC","pcr","test",0.56675140038109,0.512391812500477,"2021-01-05 15:00:12","2021-01-05"
"BTC","rf","holdout",1.60922609678163,0.105250621734411,"2021-01-05 15:00:12","2021-01-05"
"BTC","rf","test",1.00102849124948,0.095927332349377,"2021-01-05 15:00:12","2021-01-05"
"BTC","xgb","holdout",1.57957582018903,0.0600478080781705,"2021-01-05 15:00:12","2021-01-05"
"BTC","xgb","test",1.44293083278661,0.0351467916316637,"2021-01-05 15:00:12","2021-01-05"
"BTG","lm","holdout",0.726522167001917,0.806559895385826,"2021-01-05 15:00:12","2021-01-05"
"BTG","lm","test",0.888754093459065,0.492443010657334,"2021-01-05 15:00:12","2021-01-05"
"BTG","nnet","holdout",1.47731835094406,0.0463254315503199,"2021-01-05 15:00:12","2021-01-05"
"BTG","nnet","test",6.28260014610709,0.261031719982453,"2021-01-05 15:00:12","2021-01-05"
"BTG","pcr","holdout",1.38228513428197,0.172700796969449,"2021-01-05 15:00:12","2021-01-05"
"BTG","pcr","test",1.07798648085007,0.297331603464408,"2021-01-05 15:00:12","2021-01-05"
"BTG","rf","holdout",1.3249214721039,0.239477420885864,"2021-01-05 15:00:12","2021-01-05"
"BTG","rf","test",1.82894407306324,0.0795352392299572,"2021-01-05 15:00:12","2021-01-05"
"BTG","xgb","holdout",2.46047556821551,0.00356968056091557,"2021-01-05 15:00:12","2021-01-05"
"BTG","xgb","test",2.82898335321273,0.0546729807691308,"2021-01-05 15:00:12","2021-01-05"
"BTM","lm","holdout",0.717011916846056,0.747776246429826,"2021-01-05 15:00:12","2021-01-05"
"BTM","lm","test",1.96795470833509,0.294268334295656,"2021-01-05 15:00:12","2021-01-05"
"BTM","nnet","holdout",1.38794276820861,0.082998351324557,"2021-01-05 15:00:12","2021-01-05"
"BTM","nnet","test",2.4105984881281,0.286688203198705,"2021-01-05 15:00:12","2021-01-05"
"BTM","pcr","holdout",1.21390778216341,0.293415164531308,"2021-01-05 15:00:12","2021-01-05"
"BTM","pcr","test",1.87671320883126,0.436679729858923,"2021-01-05 15:00:12","2021-01-05"
"BTM","rf","holdout",2.928219696499,0.0799672376587271,"2021-01-05 15:00:12","2021-01-05"
"BTM","rf","test",2.22419487510441,0.127724685021076,"2021-01-05 15:00:12","2021-01-05"
"BTM","xgb","holdout",3.2493450550534,3.2717407106946e-05,"2021-01-05 15:00:12","2021-01-05"
"BTM","xgb","test",3.39897579131228,0.143079136330649,"2021-01-05 15:00:12","2021-01-05"
"CCE","lm","holdout",4.48938211988966,0.0135239111385485,"2021-01-05 15:00:12","2021-01-05"
"CCE","lm","test",4.32043948433355,0.0979461846513365,"2021-01-05 15:00:12","2021-01-05"
"CCE","nnet","holdout",4.05903101869691,0.158771479430311,"2021-01-05 15:00:12","2021-01-05"
"CCE","nnet","test",7.10658380628505,0.0894717784105031,"2021-01-05 15:00:12","2021-01-05"
"CCE","pcr","holdout",3.97148685737816,0.145332937355795,"2021-01-05 15:00:12","2021-01-05"
"CCE","pcr","test",3.54883354422085,0.0448125655734937,"2021-01-05 15:00:12","2021-01-05"
"CCE","rf","holdout",5.84880899917245,0.197834084259145,"2021-01-05 15:00:12","2021-01-05"
"CCE","rf","test",5.08570131971919,0.231421518607177,"2021-01-05 15:00:12","2021-01-05"
"CCE","xgb","holdout",6.08943782550975,0.00314153146456653,"2021-01-05 15:00:12","2021-01-05"
"CCE","xgb","test",5.82438063314997,0.133576322902593,"2021-01-05 15:00:12","2021-01-05"
"CHZ","lm","holdout",1.21366090199422,0.746874459802654,"2021-01-05 15:00:12","2021-01-05"
"CHZ","lm","test",1.35362147436601,0.548711023521547,"2021-01-05 15:00:12","2021-01-05"
"CHZ","nnet","holdout",2.38765250965553,0.0209802290196292,"2021-01-05 15:00:12","2021-01-05"
"CHZ","nnet","test",2.33715925089185,0.224699054962874,"2021-01-05 15:00:12","2021-01-05"
"CHZ","pcr","holdout",2.17933807591274,0.185637487293033,"2021-01-05 15:00:12","2021-01-05"
"CHZ","pcr","test",1.45305463303017,0.462298189807525,"2021-01-05 15:00:12","2021-01-05"
"CHZ","rf","holdout",4.68321811686577,0.0255812046358283,"2021-01-05 15:00:12","2021-01-05"
"CHZ","rf","test",1.91798687136988,0.216164458686245,"2021-01-05 15:00:12","2021-01-05"
"CHZ","xgb","holdout",2.35198456090556,0.338556773220816,"2021-01-05 15:00:12","2021-01-05"
"CHZ","xgb","test",2.0000474499263,0.037614151319671,"2021-01-05 15:00:12","2021-01-05"
"CRO","lm","holdout",1.07729951446983,0.820581507070334,"2021-01-05 15:00:12","2021-01-05"
"CRO","lm","test",0.525634448408077,0.828414440907249,"2021-01-05 15:00:12","2021-01-05"
"CRO","nnet","holdout",2.42223334252688,0.0463642170766833,"2021-01-05 15:00:12","2021-01-05"
"CRO","nnet","test",1.31774211230007,0.19526674391115,"2021-01-05 15:00:12","2021-01-05"
"CRO","pcr","holdout",2.13733827580202,0.282107126747182,"2021-01-05 15:00:12","2021-01-05"
"CRO","pcr","test",0.697314906163784,0.343778714315758,"2021-01-05 15:00:12","2021-01-05"
"CRO","rf","holdout",2.7635458475821,0.283118488423836,"2021-01-05 15:00:12","2021-01-05"
"CRO","rf","test",1.25152414142732,0.0507369150468992,"2021-01-05 15:00:12","2021-01-05"
"CRO","xgb","holdout",2.36313140285243,0.373020264121254,"2021-01-05 15:00:12","2021-01-05"
"CRO","xgb","test",1.25464341179043,0.0285983568081422,"2021-01-05 15:00:12","2021-01-05"
"CRPT","lm","holdout",1.88493357507096,0.839791441979556,"2021-01-05 15:00:12","2021-01-05"
"CRPT","lm","test",1.69876717986846,0.27278819171696,"2021-01-05 15:00:12","2021-01-05"
"CRPT","nnet","holdout",3.14508883852257,0.0179827474395664,"2021-01-05 15:00:12","2021-01-05"
"CRPT","nnet","test",1.13479818862852,0.286813418665054,"2021-01-05 15:00:12","2021-01-05"
"CRPT","pcr","holdout",2.99801772252655,0.142886892978557,"2021-01-05 15:00:12","2021-01-05"
"CRPT","pcr","test",1.10642915143849,0.19743754781018,"2021-01-05 15:00:12","2021-01-05"
"CRPT","rf","holdout",3.38563837812054,0.000210266097674394,"2021-01-05 15:00:12","2021-01-05"
"CRPT","rf","test",2.35773281150014,0.0373602029263477,"2021-01-05 15:00:12","2021-01-05"
"CRPT","xgb","holdout",4.47005816726936,0.0126670787082737,"2021-01-05 15:00:12","2021-01-05"
"CRPT","xgb","test",4.22146112246258,0.0260054015110732,"2021-01-05 15:00:12","2021-01-05"
"CRV","lm","holdout",1.94148336986104,0.411952822482819,"2021-01-05 15:00:12","2021-01-05"
"CRV","lm","test",2.36704915405318,0.646745136277568,"2021-01-05 15:00:12","2021-01-05"
"CRV","nnet","holdout",3.88686237727395,0.0465710700903954,"2021-01-05 15:00:12","2021-01-05"
"CRV","nnet","test",4.28239177117473,0.400530744764222,"2021-01-05 15:00:12","2021-01-05"
"CRV","pcr","holdout",2.0954280555784,0.342444181277904,"2021-01-05 15:00:12","2021-01-05"
"CRV","pcr","test",2.41720076746737,0.552143222733342,"2021-01-05 15:00:12","2021-01-05"
"CRV","rf","holdout",2.59926271383377,0.0348581371038161,"2021-01-05 15:00:12","2021-01-05"
"CRV","rf","test",8.55041508451969,0.109214720146973,"2021-01-05 15:00:12","2021-01-05"
"CRV","xgb","holdout",3.81698711557799,0.038721977757392,"2021-01-05 15:00:12","2021-01-05"
"CRV","xgb","test",8.28453614133459,0.148612698036319,"2021-01-05 15:00:12","2021-01-05"
"CUR","lm","holdout",0.601206057529511,0.363853370504184,"2021-01-05 15:00:12","2021-01-05"
"CUR","lm","test",6.87392788055131,0.333476553392577,"2021-01-05 15:00:12","2021-01-05"
"CUR","nnet","holdout",1.8206071175821,0.381439556125096,"2021-01-05 15:00:12","2021-01-05"
"CUR","nnet","test",4.71443317444192,0.298147527267196,"2021-01-05 15:00:12","2021-01-05"
"CUR","pcr","holdout",0.774991344557672,0.33731826751319,"2021-01-05 15:00:12","2021-01-05"
"CUR","pcr","test",3.59499928018496,0.387000732351234,"2021-01-05 15:00:12","2021-01-05"
"CUR","rf","holdout",3.56264418689369,3.90521617087762e-08,"2021-01-05 15:00:12","2021-01-05"
"CUR","rf","test",4.46002913207413,0.164785892561064,"2021-01-05 15:00:12","2021-01-05"
"CUR","xgb","holdout",0.276728356160218,0.665321651218924,"2021-01-05 15:00:12","2021-01-05"
"CUR","xgb","test",6.88338434514923,0.17352948485859,"2021-01-05 15:00:12","2021-01-05"
"DCR","lm","holdout",1.13420397024137,0.78184880385441,"2021-01-05 15:00:12","2021-01-05"
"DCR","lm","test",0.809525546570124,0.655852743337608,"2021-01-05 15:00:12","2021-01-05"
"DCR","nnet","holdout",3.7725244147549,0.0907127977059262,"2021-01-05 15:00:12","2021-01-05"
"DCR","nnet","test",1.93177006819071,0.151573071012081,"2021-01-05 15:00:12","2021-01-05"
"DCR","pcr","holdout",1.79236249427666,0.288206724786029,"2021-01-05 15:00:12","2021-01-05"
"DCR","pcr","test",1.13809452709722,0.301901895450751,"2021-01-05 15:00:12","2021-01-05"
"DCR","rf","holdout",2.49966764404762,0.0224731471828441,"2021-01-05 15:00:12","2021-01-05"
"DCR","rf","test",1.84365322060982,0.139392252245326,"2021-01-05 15:00:12","2021-01-05"
"DCR","xgb","holdout",2.39581433186225,0.00249344079443775,"2021-01-05 15:00:12","2021-01-05"
"DCR","xgb","test",3.04492997532483,0.0318474519636138,"2021-01-05 15:00:12","2021-01-05"
"DGB","lm","holdout",1.32037192484332,0.702215663658941,"2021-01-05 15:00:12","2021-01-05"
"DGB","lm","test",0.909208135841093,0.366182106927833,"2021-01-05 15:00:12","2021-01-05"
"DGB","nnet","holdout",2.41121401311719,3.91564255452058e-05,"2021-01-05 15:00:12","2021-01-05"
"DGB","nnet","test",1.54452632727627,0.0457144851864559,"2021-01-05 15:00:12","2021-01-05"
"DGB","pcr","holdout",2.23673927143,0.12621879578809,"2021-01-05 15:00:12","2021-01-05"
"DGB","pcr","test",1.11397344949042,0.049749329217399,"2021-01-05 15:00:12","2021-01-05"
"DGB","rf","holdout",2.61782551044481,0.0791674640515607,"2021-01-05 15:00:12","2021-01-05"
"DGB","rf","test",1.20795395168478,0.0713505613722685,"2021-01-05 15:00:12","2021-01-05"
"DGB","xgb","holdout",2.64066578122529,0.104219819825675,"2021-01-05 15:00:12","2021-01-05"
"DGB","xgb","test",1.43456267388931,0.0276288360415226,"2021-01-05 15:00:12","2021-01-05"
"ELF","lm","holdout",0.714773973246268,0.762830947173821,"2021-01-05 15:00:12","2021-01-05"
"ELF","lm","test",0.673211929937001,0.649290470243101,"2021-01-05 15:00:12","2021-01-05"
"ELF","nnet","holdout",1.40377066134287,0.0083715478505716,"2021-01-05 15:00:12","2021-01-05"
"ELF","nnet","test",1.37401037001557,0.114666553591497,"2021-01-05 15:00:12","2021-01-05"
"ELF","pcr","holdout",1.34844097968882,0.0922361694487119,"2021-01-05 15:00:12","2021-01-05"
"ELF","pcr","test",0.987826136011247,0.409465352952078,"2021-01-05 15:00:12","2021-01-05"
